,name,handedness,height,weight,avg,homeruns,hr_bucket,bmi,bmi_bucket,hr_sqrt
762,Mike Squires,L,71,185,0.26,6,Low home run hitter (under 25 HR),25.79944455,25,2.449489743
763,Champ Summers,L,74,205,0.255,54,Mid home run hitter (25-100 HR),26.31756757,26,7.348469228
764,Bert Campaneris,R,70,160,0.259,79,Mid home run hitter (25-100 HR),22.95510204,22,8.888194417
765,Bobby Valentine,R,70,189,0.26,12,Low home run hitter (under 25 HR),27.11571429,27,3.464101615
766,Rob Andrews,R,72,185,0.251,3,Low home run hitter (under 25 HR),25.08777006,25,1.732050808
767,Tom Haller,L,76,195,0.257,134,Big home run hitter (over 200 HR),23.73355263,23,11.5758369
768,Ed Stroud,L,71,180,0.237,14,Low home run hitter (under 25 HR),25.10216227,25,3.741657387
769,Ron Swoboda,R,74,195,0.242,73,Mid home run hitter (25-100 HR),25.03378378,25,8.544003745
770,Harry Spilman,L,73,180,0.237,18,Low home run hitter (under 25 HR),23.74554325,23,4.242640687
771,Bob Barton,R,72,175,0.226,9,Low home run hitter (under 25 HR),23.73167438,23,3
772,Daryl Sconiers,L,74,185,0.265,15,Low home run hitter (under 25 HR),23.75,23,3.872983346
773,Joe Torre,R,74,212,0.297,252,Big home run hitter (over 200 HR),27.21621622,27,15.87450787
774,Al Ferrara,R,73,200,0.259,51,Mid home run hitter (25-100 HR),26.38393695,26,7.141428429
775,Sixto Lezcano,R,70,165,0.271,148,Big home run hitter (over 200 HR),23.67244898,23,12.16552506
776,Dave Nicholson,R,74,215,0.212,61,Mid home run hitter (25-100 HR),27.60135135,27,7.810249676
777,Freddie Patek,R,65,148,0.242,41,Mid home run hitter (25-100 HR),24.62579882,24,6.403124237
778,Ken Hubbs,R,74,175,0.247,14,Low home run hitter (under 25 HR),22.46621622,22,3.741657387
779,Pepe Mangual,R,70,157,0.242,16,Low home run hitter (under 25 HR),22.52469388,22,4
780,Leron Lee,L,72,196,0.25,31,Mid home run hitter (25-100 HR),26.57947531,26,5.567764363
